Income,RecencyInDays,WinePurchases,FruitPurchases,MeatProductPurchases,FishProductPurchases,SweetProductPurchases,NonFoodPurchases,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,CustomerLifetimeInDays,TotalFoodPurchases
23626,84,27,2,14,0,0,0,3,3,1,3,5,50,2195,43
30096,30,5,3,11,12,5,9,1,2,0,3,6,37,2197,36
47916,72,505,0,26,0,0,75,5,7,4,6,6,60,2743,531
51813,37,51,2,7,0,1,2,2,2,0,3,7,48,2603,61
78497,44,207,26,447,75,0,223,1,5,7,12,2,69,2369,755
50150,32,135,46,92,65,61,11,2,5,2,7,5,37,2533,399
47823,0,53,1,5,2,1,10,2,2,0,3,8,60,2500,62
34554,43,41,1,6,2,0,5,2,2,0,3,6,61,2250,50
85693,59,386,172,183,185,132,111,2,9,5,11,5,41,2594,1058
65846,68,562,81,276,80,40,81,1,6,3,6,4,75,2567,1039
87195,35,217,76,690,50,26,38,1,3,11,5,1,61,2211,1059
24594,94,1,3,6,10,0,9,1,1,0,3,5,41,2360,20
49096,15,144,1,32,2,1,7,4,4,1,4,7,56,2437,180
52413,56,295,106,271,75,98,65,4,6,4,12,6,51,2671,845
38557,17,76,3,31,4,4,27,2,3,1,3,7,42,2716,118
89058,18,454,194,106,31,22,43,1,5,4,4,2,60,2728,807
77298,46,425,115,292,23,35,79,1,6,6,11,3,41,2398,890
68126,40,1332,17,311,23,51,86,1,7,4,5,9,29,2755,1734
57288,27,527,0,21,0,0,60,3,8,1,8,6,57,2163,548
86037,95,490,44,125,29,20,22,1,6,7,11,3,29,2702,708
43974,19,378,0,101,0,0,72,5,6,4,6,7,40,2723,479
50785,27,64,1,21,0,1,27,2,2,1,3,6,58,2451,87
90765,25,547,99,812,151,82,33,0,4,6,5,1,50,2315,1691
36550,74,47,90,94,123,103,120,5,9,1,5,9,42,2654,457
30753,85,12,5,25,0,9,30,2,1,1,3,5,53,2512,51
21918,37,1,6,7,11,5,3,2,2,0,3,6,51,2386,30
56129,65,320,48,133,39,72,48,4,6,2,10,4,67,2533,612
32557,13,34,3,29,0,4,10,3,2,1,3,5,53,2284,70
19510,63,9,0,7,3,4,7,2,1,0,3,7,35,2457,23
30992,83,17,0,14,7,3,2,1,1,0,3,7,44,2592,41
101970,69,722,27,102,44,72,168,0,6,8,13,2,37,2633,967
71488,87,162,33,124,40,28,172,2,3,4,7,1,55,2655,387
79607,37,450,133,951,173,0,216,1,3,6,6,1,36,2593,1707
54348,51,70,0,16,0,0,4,2,2,0,4,6,67,2180,86
77376,72,492,19,110,16,12,12,4,6,3,10,4,64,2209,649
62998,10,120,58,73,65,89,58,5,5,4,5,5,68,2431,405
61331,42,534,5,47,0,5,41,5,11,1,6,8,62,2635,591
73448,10,236,106,189,23,41,130,1,7,2,9,4,51,2298,595
41551,51,220,0,33,3,0,23,5,5,1,5,8,56,2478,256
62981,21,796,14,590,38,44,0,1,4,5,13,3,53,2628,1482
9548,31,0,1,3,10,6,9,2,1,0,3,8,44,2849,20
33762,61,53,1,34,2,0,16,3,2,2,2,8,61,2516,90
35860,37,15,0,8,4,2,20,2,1,1,2,5,47,2200,29
36921,74,17,1,12,3,1,4,2,2,0,3,7,55,2495,34
92859,46,962,61,921,52,61,20,1,5,4,12,2,28,2777,2057
65104,4,738,0,232,13,20,50,2,3,5,7,7,44,2386,1003
86111,73,399,28,756,36,40,126,1,5,7,10,2,58,2595,1259
68352,47,614,16,132,43,33,33,3,8,5,9,6,46,2464,838
41883,13,32,34,41,73,16,116,3,4,2,3,7,32,2626,196
59809,36,598,16,141,32,41,49,3,3,3,6,8,44,2778,828
23957,47,2,1,18,20,11,16,1,2,0,3,6,45,2768,52
38547,49,6,1,10,0,1,4,1,1,0,2,8,39,2464,18
35688,94,73,3,90,12,1,32,7,4,1,4,8,47,2835,179
49605,65,42,16,29,12,20,8,1,2,1,4,3,54,2167,119
59354,59,295,21,78,39,13,13,1,4,4,7,3,67,2225,446
65747,96,346,17,48,23,13,13,4,8,1,6,6,51,2273,447
46344,28,233,20,57,8,20,91,4,7,1,5,7,48,2721,338
34176,12,5,7,24,19,14,20,4,3,0,4,6,32,2207,69
61010,57,888,0,57,0,0,76,2,8,5,11,5,68,2787,945
69372,10,997,26,269,34,13,42,1,10,4,6,4,71,2654,1339
49967,4,212,6,69,4,12,3,3,6,1,5,7,62,2515,303
60199,49,8,1,7,2,0,0,1,0,0,3,4,42,2449,18
55375,3,42,11,57,10,28,14,1,1,1,6,2,43,2414,148
80317,64,536,11,387,149,91,57,1,3,4,10,1,65,2472,1174
30523,0,5,0,3,0,0,5,1,1,0,2,7,62,2522,8
70356,20,1349,16,249,43,16,33,2,10,6,9,6,75,2760,1673
23228,91,53,3,49,7,4,5,4,3,0,4,8,36,2334,116
74165,9,1001,12,240,16,12,12,1,5,4,10,2,45,2583,1281
43482,83,18,1,32,6,3,28,3,2,0,4,6,54,2387,60
62551,27,125,16,98,134,21,27,1,6,7,4,3,67,2382,394
52332,63,212,5,33,7,0,2,1,3,2,6,4,61,2464,257
66951,46,277,162,305,173,76,124,1,3,4,7,1,32,2398,993
26091,84,15,10,19,8,17,20,3,2,1,3,5,63,2283,69
33456,58,7,3,10,8,1,7,2,1,0,3,7,55,2228,29
28718,78,12,4,6,11,8,16,2,2,0,3,8,38,2510,41
50447,4,85,7,24,2,3,27,1,3,1,3,6,50,2228,121
53537,17,81,0,6,0,0,6,2,2,1,3,5,61,2309,87
52074,77,59,0,12,0,0,48,1,2,2,2,4,53,2245,71
80427,56,1149,71,449,69,71,26,1,11,8,8,5,45,2814,1809
83837,79,847,66,119,86,89,111,1,9,10,5,4,72,2719,1207
38853,90,29,0,14,0,0,2,2,2,0,3,7,50,2196,43
38285,96,2,0,5,2,0,1,1,0,0,3,2,61,2164,9
78497,44,207,26,447,75,0,223,1,5,7,12,2,69,2369,755
51650,81,152,3,22,2,5,7,1,4,1,4,5,44,2208,184
16248,77,12,11,10,3,12,9,3,2,1,3,6,32,2209,48
66835,21,620,26,195,34,17,141,1,6,4,13,2,74,2433,892
30477,16,47,1,6,0,0,12,1,1,1,3,6,36,2317,54
28249,80,1,9,7,2,14,10,1,2,0,3,6,59,2173,33
25271,45,10,1,18,10,4,7,1,1,1,2,9,37,2730,43
32303,63,35,0,2,0,0,2,2,1,0,4,5,50,2272,37
61286,34,356,0,107,19,9,117,2,7,1,8,5,54,2490,491
74068,14,783,30,537,140,76,15,1,4,10,9,2,44,2626,1566
45759,13,42,1,18,3,0,4,2,2,0,3,7,56,2650,64
24882,52,1,4,10,29,0,36,1,1,1,2,6,42,2817,44
66973,98,466,22,432,147,113,102,1,8,7,12,3,31,2567,1180
38872,93,23,3,21,3,19,22,2,3,0,3,8,32,2554,69
51148,38,235,6,45,8,9,12,4,5,1,6,6,47,2655,303
31353,24,10,0,10,3,1,7,2,1,1,2,8,43,2341,24
69661,80,656,16,106,32,16,8,1,7,3,12,3,40,2206,826
80067,82,519,17,813,27,173,51,1,4,6,6,2,66,2442,1549
86718,20,344,189,482,50,33,172,1,5,6,5,2,66,2687,1098
46854,81,96,1,79,7,1,79,6,5,1,3,8,47,2249,184
69142,50,448,4,34,6,4,39,3,8,1,7,5,68,2159,496
75922,60,265,138,553,224,23,92,1,4,4,9,1,52,2361,1203
63693,63,587,43,337,42,87,54,3,11,6,9,6,42,2417,1096
102160,54,763,29,138,76,176,58,0,7,9,10,4,43,2763,1182
40637,72,22,0,13,0,0,3,2,1,0,3,7,55,2506,35
18890,5,6,4,1,7,2,15,1,0,1,2,6,36,2755,20
29604,88,7,6,13,7,6,14,1,1,0,3,9,32,2362,39
48721,50,81,18,113,47,13,21,6,4,2,5,6,57,2571,272
44794,99,54,0,7,0,0,4,1,2,0,3,6,54,2180,61
64497,17,1170,48,320,42,32,192,5,11,4,9,8,66,2816,1612
46097,11,72,24,68,65,4,8,5,3,1,6,4,64,2614,233
77972,18,613,22,319,33,102,12,1,4,6,9,1,66,2262,1089
44377,70,224,0,30,0,0,10,8,5,1,5,8,52,2791,254
46014,21,410,0,59,19,9,44,10,7,1,8,7,46,2683,497
70951,66,239,10,554,254,87,54,1,3,4,9,1,35,2580,1144
41443,79,171,7,171,25,19,89,6,8,1,5,8,43,2248,393
52195,2,12,0,4,0,0,1,1,1,0,2,8,42,2207,16
83790,81,1076,16,417,42,48,16,1,8,10,6,3,72,2385,1599
44551,24,182,4,33,0,0,66,2,4,1,5,7,66,2461,219
69508,48,824,32,162,42,32,43,2,11,4,11,6,40,2751,1092
45204,93,30,11,25,29,1,18,1,1,1,4,3,32,2238,96
72460,56,377,10,540,80,30,10,1,3,5,7,1,51,2386,1037
77622,3,520,7,154,19,0,14,2,6,3,11,3,50,2235,700
30732,44,155,1,25,0,1,3,4,4,1,4,8,40,2699,182
63887,38,897,23,207,15,11,92,5,9,6,12,6,58,2818,1153
42011,46,131,0,16,2,1,39,4,3,1,4,8,42,2619,150
51369,84,297,7,79,0,11,182,2,8,2,4,8,44,2771,394
51537,27,787,20,204,0,0,92,3,2,2,11,8,68,2726,1011
79930,72,792,86,740,67,51,17,1,3,5,8,2,48,2849,1736
34320,66,4,1,9,3,0,0,1,1,0,2,8,34,2292,17
37070,30,231,7,137,4,15,39,9,5,1,8,7,54,2625,394
81975,2,983,76,184,180,138,27,1,6,3,4,7,58,2699,1561
38590,65,3,1,8,4,3,3,1,1,0,2,8,49,2569,19
15033,37,0,4,5,6,0,4,1,1,0,3,3,69,2233,15
62745,89,562,21,464,28,10,32,3,7,8,11,5,55,2622,1085
22212,49,5,9,20,6,8,21,2,2,0,4,6,45,2361,48
23661,46,18,0,4,0,0,1,1,1,0,3,7,38,2366,22
79761,32,415,5,124,15,35,11,1,5,2,11,3,62,2427,594
7500,54,5,3,10,12,7,20,4,3,1,3,7,47,2344,37
73455,98,901,61,757,186,163,20,1,6,5,10,3,52,2403,2068
64961,97,382,114,276,75,124,38,2,6,4,4,3,62,2712,971
22804,75,14,1,7,2,1,1,1,2,0,2,9,49,2492,25
73687,8,559,153,503,218,13,181,1,3,9,9,2,30,2372,1446
61074,37,789,0,133,0,28,152,7,11,5,8,7,62,2840,950
31686,31,11,0,5,0,0,1,2,1,0,3,6,56,2183,16
80134,40,1218,16,272,104,0,80,2,5,3,6,6,48,2564,1610
75027,74,925,64,179,133,12,77,2,9,4,6,5,67,2695,1313
67546,90,864,134,768,150,38,172,1,4,10,5,3,32,2826,1954
65176,57,960,28,183,220,70,70,4,9,6,6,6,51,2767,1461
31160,59,16,3,25,6,1,13,2,2,0,3,8,45,2445,51
29938,52,3,3,7,0,2,11,2,1,0,3,6,35,2404,15
102692,5,168,148,444,32,172,148,1,6,9,13,2,46,2609,964
26490,92,45,47,52,21,20,25,2,3,1,5,6,62,2804,185
75702,77,650,28,353,45,42,30,5,4,6,11,8,53,2828,1118
30899,35,24,0,8,0,0,1,2,1,0,3,6,46,2783,32
63342,48,918,21,118,13,10,21,3,8,3,5,6,59,2780,1080
45989,97,138,33,87,28,24,12,4,3,2,7,3,56,2774,310
18701,95,12,4,2,10,6,10,4,2,0,4,5,56,2549,34
40737,24,11,0,4,0,0,2,1,1,0,2,8,63,2362,15
15287,60,1,2,8,4,3,13,2,1,1,2,7,41,2786,18
69674,46,554,41,215,11,0,24,3,10,2,10,5,52,2562,821
44159,85,167,2,62,24,13,7,4,4,1,6,5,50,2171,268
37717,31,9,0,6,4,1,5,1,1,0,2,9,42,2742,20
43776,9,177,2,71,3,2,20,6,5,2,4,8,68,2670,255
38179,30,38,4,22,4,2,20,4,3,1,3,7,54,2631,70
80124,47,483,84,398,205,84,241,1,3,7,8,1,57,2162,1254
38097,70,77,2,35,0,1,69,4,3,2,2,7,50,2781,115
72940,13,182,74,298,162,149,116,1,3,3,6,1,50,2534,865
22070,11,10,7,19,8,2,21,2,2,2,2,6,50,2427,46
69267,31,778,44,499,95,73,146,2,3,4,5,7,67,2804,1489
31788,15,16,7,23,0,8,6,3,3,0,4,5,37,2260,54
61905,2,167,0,43,6,2,13,2,4,2,4,5,45,2304,218
29315,55,13,2,14,8,7,4,4,2,0,4,6,60,2243,44
33378,38,33,6,40,3,7,10,3,2,0,4,7,57,2667,89
66313,86,625,7,99,10,22,7,2,6,3,12,4,57,2445,763
60714,56,216,162,224,101,92,162,2,7,4,10,5,64,2687,795
77882,29,68,129,396,188,22,15,1,3,3,5,1,39,2219,803
69867,30,196,0,512,33,130,54,1,3,5,8,1,34,2612,871
63841,64,635,15,100,20,7,131,1,9,3,9,6,52,2593,777
24480,46,4,19,9,28,25,17,3,3,0,4,7,39,2662,85
51369,84,297,7,79,0,11,182,2,8,2,4,8,44,2771,394
37760,20,84,5,38,150,12,28,2,4,1,6,7,74,2826,289
65640,74,204,7,149,20,15,66,1,5,1,8,2,46,2279,395
44319,18,26,0,8,0,0,3,2,2,0,3,5,45,2232,34
30631,75,15,6,20,4,5,20,1,3,1,2,7,46,2511,50
75278,17,304,98,230,150,74,74,1,6,3,13,3,68,2675,856
50898,88,285,28,242,55,114,135,13,6,2,12,5,64,2696,724
79946,19,395,183,565,166,141,28,1,5,11,5,3,54,2207,1450
35416,62,248,3,81,4,3,51,3,7,1,5,8,71,2540,339
32414,11,20,6,5,0,9,12,1,1,0,3,7,36,2519,40
38361,74,39,0,56,20,8,14,3,3,1,3,7,51,2343,123
82497,32,777,129,573,216,21,203,1,2,7,9,4,40,2765,1716
16626,76,8,3,22,21,1,13,3,3,0,3,9,49,2324,55
29672,6,9,1,3,0,4,8,1,0,0,3,6,55,2633,17
55951,62,1241,0,80,0,13,40,3,3,6,11,8,68,2834,1334
35388,20,6,4,7,4,3,8,1,1,0,3,7,32,2638,24
42386,43,65,4,16,0,4,11,1,3,0,3,8,34,2691,89
68627,45,395,15,263,60,54,38,1,2,3,6,1,38,2692,787
57912,34,801,0,80,0,0,35,5,8,3,12,5,55,2263,881
35246,53,36,0,12,2,2,10,4,3,1,3,5,62,2233,52
58821,44,513,14,154,19,0,28,1,9,2,9,6,64,2419,700
46377,89,37,0,46,4,3,0,1,2,1,3,4,42,2279,90
39747,43,80,15,93,20,13,52,3,5,1,4,8,32,2236,221
23976,68,14,1,21,2,3,25,3,3,1,3,7,36,2343,41
80950,44,525,147,112,219,147,63,1,6,7,9,2,59,2617,1150
27038,64,1,26,25,17,23,15,1,3,0,3,9,54,2808,92
77457,85,675,11,400,15,45,11,1,2,5,10,1,73,2275,1146
64100,93,509,0,27,0,0,10,1,8,3,6,7,56,2451,536
42670,12,154,2,46,20,4,15,1,4,2,4,4,28,2587,226
12571,86,3,5,14,2,12,17,4,3,1,3,6,44,2321,36
22574,28,25,0,8,2,0,2,2,2,0,3,7,53,2403,35
70893,42,768,44,561,77,44,14,1,6,6,10,3,44,2667,1494
54198,13,185,0,28,3,2,17,6,3,1,6,4,54,2353,218
28839,86,24,0,7,0,0,1,2,2,0,3,5,64,2269,31
40321,59,44,4,21,6,0,27,2,3,0,3,7,48,2494,75
66503,30,91,64,128,65,3,50,2,4,3,6,3,35,2843,351
30833,33,11,0,7,3,1,6,2,1,0,3,5,69,2507,22
64795,23,412,5,119,38,29,77,3,3,3,12,2,49,2687,603
34421,81,3,3,7,6,2,9,1,1,0,2,7,46,2522,21
47025,6,16,0,3,0,0,1,1,1,0,2,7,55,2299,19
64325,41,731,60,353,78,12,73,5,10,3,5,7,59,2666,1234
40464,78,424,17,118,7,23,41,6,8,2,8,8,67,2693,589
62187,49,792,0,275,45,45,126,1,4,8,5,3,63,2518,1157
14849,39,21,2,28,3,2,9,3,2,0,4,8,44,2521,56
27255,3,22,1,11,0,1,2,1,1,0,3,7,36,2393,35
54432,37,33,0,5,0,0,0,1,1,0,3,4,70,2575,38
29999,22,68,7,59,10,5,11,4,3,1,4,8,34,2660,149
24072,79,9,1,6,3,0,4,1,1,0,2,8,37,2598,19
33996,46,40,2,15,8,0,6,1,1,1,3,4,31,2450,65
66334,82,909,11,218,0,0,23,2,9,3,5,5,64,2611,1138
35178,10,23,1,13,2,2,18,1,1,1,2,7,49,2694,41
22010,51,11,2,9,3,0,8,2,2,0,3,8,37,2523,25
62204,38,317,46,247,151,46,139,1,4,5,12,3,60,2814,807
75693,10,797,153,293,72,97,30,1,11,4,6,4,52,2729,1412
30675,14,10,2,16,11,2,21,1,1,0,3,8,48,2753,41
83003,18,856,61,570,40,25,122,1,7,6,8,3,55,2642,1552
68655,95,456,19,832,75,118,38,1,4,5,11,3,32,2847,1500
41411,11,37,32,38,11,3,18,1,2,1,4,6,34,2363,121
55212,65,1103,0,45,0,0,34,3,4,2,11,8,51,2742,1148
59292,71,378,14,68,19,14,14,2,3,5,8,3,70,2540,493
27190,13,1,6,7,0,1,3,1,1,0,2,8,47,2477,15
82623,58,204,34,204,172,153,173,1,2,9,4,1,68,2390,767
44300,65,30,0,9,0,0,3,2,1,0,3,6,55,2530,39
84835,0,189,104,379,111,189,218,1,4,4,6,1,50,2172,972
30372,33,15,0,12,7,3,7,3,2,0,3,7,49,2710,37
33181,90,9,0,3,0,0,4,1,1,0,2,6,44,2336,12
71113,95,495,33,255,11,33,8,4,6,7,9,4,63,2353,827
71952,93,656,80,455,52,107,93,2,8,4,8,4,34,2694,1350
69759,38,452,20,514,13,30,0,3,4,6,5,3,54,2403,1029
72099,18,546,91,410,119,0,22,1,3,4,10,1,46,2769,1166
60000,57,1048,0,217,0,0,12,5,11,3,5,6,44,2713,1265
38643,45,22,2,14,0,1,10,2,2,0,3,7,42,2371,39
50737,61,78,0,11,0,0,10,1,2,0,4,6,65,2573,89
68462,6,561,64,785,84,128,48,1,3,3,8,1,51,2723,1622
65073,65,629,17,177,69,0,8,1,5,3,5,2,77,2472,892
46681,52,269,15,69,15,19,38,2,4,6,4,5,72,2423,387
78618,87,736,163,818,212,163,61,1,4,7,10,2,63,2798,2092
62187,38,512,0,83,0,0,41,3,6,2,10,4,51,2258,595
28442,53,19,3,10,11,8,6,3,2,1,4,4,42,2284,51
37717,31,9,0,6,4,1,5,1,1,0,2,9,42,2742,20
51479,67,247,8,160,6,8,65,7,6,3,6,7,53,2707,429
54803,65,404,0,92,28,27,142,2,6,2,9,4,51,2836,551
79530,64,333,0,815,129,42,29,1,4,10,11,2,60,2567,1319
31615,82,2,3,20,6,11,9,2,2,0,3,7,44,2629,42
72025,27,833,33,549,151,133,233,1,4,3,8,3,58,2748,1699
52614,63,789,0,142,12,9,38,2,2,4,8,8,45,2734,952
35684,66,10,4,7,0,6,3,1,1,0,3,6,36,2227,27
48178,69,159,4,45,6,2,38,6,5,1,4,8,45,2768,216
29548,52,7,1,6,3,1,11,1,1,1,2,4,50,2463,18
63810,45,977,12,253,16,12,101,4,4,3,12,8,54,2754,1270
38578,2,38,4,22,3,3,3,3,3,0,3,8,48,2531,70
46098,86,57,0,27,0,0,36,4,3,2,2,8,45,2839,84
22585,23,3,9,15,13,2,39,1,1,1,2,9,50,2627,42
30279,13,10,4,14,4,4,1,1,1,0,3,8,31,2705,36
66426,14,1043,24,97,32,24,157,2,3,5,10,6,59,2429,1220
30822,92,3,9,13,2,12,12,1,1,0,3,7,51,2539,39
33581,38,11,0,5,0,0,1,1,1,0,2,8,51,2696,16
19986,74,3,6,5,0,2,6,1,0,0,3,7,35,2386,16
27421,14,43,12,96,78,40,55,3,4,1,6,7,66,2723,269
35688,94,73,3,90,12,1,32,7,4,1,4,8,47,2835,179
36143,33,12,0,1,0,0,6,1,0,1,2,3,39,2250,13
10245,32,4,7,7,6,4,13,3,1,2,2,5,49,2569,28
43795,11,314,11,53,4,3,107,3,7,3,4,7,52,2415,385
63381,78,571,50,142,33,50,159,4,4,5,13,2,60,2791,846
38823,56,70,0,11,2,8,23,1,2,1,3,6,71,2827,91
83664,57,866,21,151,28,21,86,3,2,2,12,5,52,2576,1087
90300,7,594,134,786,33,134,57,0,5,6,8,1,41,2336,1681
62499,0,140,4,61,0,13,4,2,3,1,6,4,41,2361,218
74293,66,375,152,335,93,91,81,1,5,4,6,2,27,2215,1046
51012,86,102,9,63,2,9,24,1,4,1,4,6,74,2596,185
70777,80,554,35,113,0,7,78,3,5,3,12,3,52,2283,709
68682,56,919,0,505,99,30,45,1,4,9,10,2,29,2425,1553
43824,18,96,1,42,12,3,32,4,3,1,4,8,49,2811,154
15345,51,5,2,16,3,2,19,2,1,1,2,8,36,2826,28
23442,71,2,0,6,8,6,5,1,1,0,3,7,33,2711,22
14515,71,6,4,9,6,36,35,4,2,2,3,7,40,2756,61
31395,80,23,1,25,0,8,7,4,2,1,3,6,64,2622,57
75276,2,610,105,125,137,42,21,1,9,4,9,5,55,2799,1019
42373,83,67,5,61,3,8,19,5,2,1,5,5,46,2477,144
30507,29,65,36,74,38,20,110,1,5,1,4,7,60,2634,233
55521,11,416,0,26,0,0,4,9,6,3,6,7,65,2409,442
48006,55,23,0,11,3,2,2,1,1,0,3,6,55,2179,39
27213,19,19,3,26,10,9,3,3,2,0,4,8,48,2827,67
65808,1,155,7,80,13,7,10,3,5,1,5,6,49,2189,262
30351,19,14,0,24,3,3,2,1,3,0,2,9,46,2547,44
50437,28,370,9,92,6,9,4,3,7,1,8,7,57,2779,486
23616,76,4,22,11,3,7,32,2,3,0,3,8,38,2748,47
53858,50,407,53,221,58,150,26,4,4,3,6,4,44,2756,889
66465,1,1200,0,204,38,29,14,3,11,9,12,6,65,2615,1471
46923,90,85,44,54,102,78,6,3,5,1,7,7,33,2835,363
75072,83,583,34,309,0,22,125,2,5,4,8,3,58,2681,948
75865,73,483,0,591,156,0,12,1,3,5,10,1,77,2249,1230
19789,24,2,5,9,28,6,28,3,2,1,3,5,45,2380,50
